RevenueType,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Liquor stores revenue,"378,578",,,,,,,,,,,"183,960",,,"340,004",,,,"201,784",,,"1,181,471",,"373,794",,"104,503",,,"707,247",,,,,,"1,277,678",,"665,690","2,126,928",,,,,,"426,588","65,355","873,819",,"103,466",,"120,986"
Insurance trust revenue,"3,248,269","1,150,647","4,788,721","1,734,036","66,382,603","5,542,662","5,110,271","626,812","9,723,743","7,476,213","1,869,137","1,380,480","16,903,970","3,149,119","2,591,539","2,407,316","4,982,287","5,066,636","857,716","5,820,816","8,736,718","7,052,848","5,289,854","2,380,536","4,532,237","1,337,206","924,921","2,902,012","921,941","12,277,260","1,924,171","19,564,548","5,231,029","820,543","16,587,175","2,732,224","6,141,923","12,982,811","1,193,145","3,761,073","612,963","5,260,667","15,998,724","2,076,817","491,434","5,456,518","10,138,213","1,145,011","4,903,598","852,196"
Total expenditure,"33,365,834","10,205,872","42,258,818","23,372,156","403,193,663","37,984,178","29,338,191","10,484,139","103,172,742","53,695,079","14,296,809","11,190,957","90,725,984","43,035,274","24,458,047","20,579,917","35,568,239","36,201,310","9,769,469","48,218,873","69,322,663","80,521,661","50,624,893","22,791,745","36,001,865","8,062,083","11,258,538","17,797,953","9,069,448","82,290,411","22,026,171","217,075,655","64,384,412","7,753,564","90,235,870","25,194,706","40,837,748","108,795,923","9,853,887","34,267,163","5,384,874","35,240,675","164,225,709","23,021,027","7,028,811","59,464,290","60,238,524","15,260,255","43,838,589","6,182,318"
Intergovernmental expenditure,"7,623,703","615,695","8,820,092","5,506,995","118,971,030","8,181,583","6,021,393","1,709,844","19,186,392","13,652,205","328,597","2,708,320","22,039,278","10,484,135","5,392,612","5,252,680","5,080,396","6,491,823","1,447,848","9,548,598","9,908,172","23,597,434","14,965,157","5,497,200","6,380,912","1,152,003","2,610,299","4,922,379","1,775,472","15,745,104","5,498,447","63,299,359","15,903,881","2,265,300","18,810,597","4,611,015","6,607,616","23,081,986","1,374,263","6,295,350","912,466","7,786,550","32,072,001","4,168,481","1,868,398","12,751,128","16,832,903","2,427,303","11,616,405","1,320,477"
Direct expenditure,"25,742,131","9,590,177","33,438,726","17,865,161","284,222,633","29,802,595","23,316,798","8,774,295","83,986,350","40,042,874","13,968,212","8,482,637","68,686,706","32,551,139","19,065,435","15,327,237","30,487,843","29,709,487","8,321,621","38,670,275","59,414,491","56,924,227","35,659,736","17,294,545","29,620,953","6,910,080","8,648,239","12,875,574","7,293,976","66,545,307","16,527,724","153,776,296","48,480,531","5,488,264","71,425,273","20,583,691","34,230,132","85,713,937","8,479,624","27,971,813","4,472,408","27,454,125","132,153,708","18,852,546","5,160,413","46,713,162","43,405,621","12,832,952","32,222,184","4,861,841"
Current operation,"18,572,867","6,582,466","24,010,343","13,932,372","203,079,899","20,670,311","13,929,199","6,425,197","61,344,075","27,300,051","10,498,480","5,902,093","43,068,196","25,101,708","13,662,975","12,140,716","22,073,868","21,090,824","6,586,998","27,672,224","43,784,459","42,133,705","25,973,109","12,621,501","21,668,854","5,039,201","6,831,446","8,249,295","5,412,616","43,036,600","12,450,638","108,936,628","33,868,782","3,970,749","46,656,955","14,770,013","25,739,026","59,007,553","6,024,693","20,297,216","2,926,559","20,916,485","88,022,327","13,721,706","4,187,646","34,472,015","31,141,889","9,580,417","22,156,919","3,423,056"
Capital outlay,"2,263,737","1,217,440","1,608,796","1,096,347","13,531,338","1,458,764","1,811,098","963,939","8,338,991","3,496,253","1,598,849","954,514","3,932,477","2,318,434","1,725,026","847,176","1,789,656","2,129,573","311,867","3,507,298","4,126,405","3,055,860","1,898,139","981,154","1,316,017","516,407","670,752","932,648","452,194","4,372,431","862,712","13,043,142","5,858,025","625,779","3,910,234","2,129,238","1,578,916","10,040,325","549,520","2,068,393","634,851","1,851,091","19,800,104","2,254,366","286,604","4,364,575","2,282,823","973,919","2,517,018","518,769"
Insurance benefits and repayments,"3,554,956","1,432,216","4,594,257","2,182,761","56,226,475","5,893,565","4,979,289","763,311","10,760,069","7,240,412","1,645,696","1,279,821","16,121,162","2,701,230","2,825,501","1,958,799","4,757,861","4,947,373","1,111,024","4,630,699","7,363,960","8,325,063","5,902,383","2,953,326","5,193,377","1,139,336","881,764","2,922,343","855,666","14,230,713","2,563,999","23,679,873","6,567,142","654,560","17,691,567","2,719,662","6,028,402","12,142,946","1,312,459","3,682,867","623,055","2,874,427","18,705,646","1,843,479","436,970","5,383,450","7,260,928","1,641,886","5,944,022","849,572"
Assistance and subsidies,"1,000,560","154,935","2,907,263","490,659","6,031,670","932,403","514,610","390,149","2,738,024","1,428,183","118,591","182,093","1,377,327","1,468,724","627,499","219,779","1,190,641","742,337","181,438","1,521,703","1,084,666","1,656,964","1,274,320","427,358","687,061","96,855","204,707","624,857","257,253","2,386,851","262,613","2,212,225","1,523,622","130,546","1,962,120","645,193","544,147","2,806,878","176,036","1,327,314","155,725","1,445,143","3,783,241","809,329","184,356","1,324,583","1,312,403","338,479","1,104,301","44,117"
Interest on debt,"350,011","203,120","318,067","163,022","5,353,251","847,552","2,082,602","231,699","805,191","577,975","106,596","164,116","4,187,544","961,043","224,434","160,767","675,817","799,380","130,294","1,338,351","3,055,001","1,752,635","611,785","311,206","755,644","118,281","59,570","146,431","316,247","2,518,712","387,762","5,904,428","662,960","106,630","1,204,397","319,585","339,641","1,716,235","416,916","596,023","132,218","366,979","1,842,390","223,666","64,837","1,168,539","1,407,578","298,251","499,924","26,327"
